"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28394","switchCurrency: Change currency from US Dollar to Pound Sterling","","Sat May 10 15:20:08 CEST 2025","passed","Sat May 10 15:20:36 CEST 2025","","","",""
"","48293","currencyCurrency: Convert balance amount from Pound Sterling to Euro","","Sat May 10 15:19:01 CEST 2025","passed","Sat May 10 15:19:50 CEST 2025","","","",""
"","18398","addIncome: Add a $1,000,000 income successfully","","Sat May 10 18:26:03 CEST 2025","passed","Sat May 10 18:26:21 CEST 2025","","","",""
"","24020","addAndDeleteExpense: Add and delete $500 expense for clothes","","Sat May 10 18:24:52 CEST 2025","passed","Sat May 10 18:25:16 CEST 2025","","","",""
"","54619","currencyCurrency: Convert balance amount from Pound Sterling to Euro","","Sat May 10 18:22:00 CEST 2025","passed","Sat May 10 18:22:55 CEST 2025","","","",""
"","33363","transferBetweenAccounts: Transfer $50 from Cash to Payment","","Sat May 10 15:22:13 CEST 2025","passed","Sat May 10 15:22:46 CEST 2025","","","",""
"","27092","addAndDeleteExpense: Add and delete $500 expense for clothes","","Sat May 10 15:20:52 CEST 2025","passed","Sat May 10 15:21:19 CEST 2025","","","",""
"","19805","addIncome: Add a $1,000,000 income successfully","","Sat May 10 15:21:36 CEST 2025","passed","Sat May 10 15:21:56 CEST 2025","","","",""
"","36165","switchCurrency: Change currency from US Dollar to Pound Sterling","","Sat May 10 18:23:18 CEST 2025","passed","Sat May 10 18:23:54 CEST 2025","","","",""
"","28123","transferBetweenAccounts: Transfer $50 from Cash to Payment","","Sat May 10 18:43:54 CEST 2025","passed","Sat May 10 18:44:22 CEST 2025","","","",""
